ID,Longitude,Latitude,LocalX,LocalY
311,99.675179,29.523653,-31.489729,-52.757904
312,99.685493,29.523640,-30.489756,-52.762161
313,99.695808,29.523624,-29.489782,-52.766537
314,99.706123,29.523609,-28.489811,-52.770824
315,99.716438,29.523592,-27.489838,-52.775234
316,99.726753,29.523575,-26.489862,-52.779556
317,99.737068,29.523558,-25.489891,-52.783787
318,99.747383,29.523539,-24.489916,-52.788139
319,99.757698,29.523520,-23.489939,-52.792404
320,99.768013,29.523499,-22.489965,-52.796787
321,99.778336,29.523478,-21.489250,-52.801086
322,99.788651,29.523455,-20.489273,-52.805504
323,99.798965,29.523432,-19.489296,-52.809834
324,99.809280,29.523409,-18.489321,-52.814072
325,99.819595,29.523384,-17.489344,-52.818428
326,99.829910,29.523359,-16.489365,-52.822701
327,99.840225,29.523335,-15.489387,-52.826878
328,99.850540,29.523306,-14.489408,-52.831394
329,99.860855,29.523279,-13.489429,-52.835606
330,99.871170,29.523251,-12.489449,-52.839943
331,99.881485,29.523222,-11.489468,-52.844189
332,99.891800,29.523191,-10.489487,-52.848557
333,99.902115,29.523161,-9.489505,-52.852833
334,99.912430,29.523129,-8.489523,-52.857231
335,99.922745,29.523096,-7.489540,-52.861542
336,99.933060,29.523064,-6.489556,-52.865761
337,99.943375,29.523029,-5.489572,-52.870102
338,99.953690,29.522995,-4.489586,-52.874355
339,99.964005,29.522959,-3.489601,-52.878731
340,99.974319,29.522923,-2.489614,-52.883015
341,99.984634,29.522886,-1.489627,-52.887211
342,99.994949,29.522848,-0.489639,-52.891529
343,100.005264,29.522808,0.510349,-52.895966
344,100.015579,29.522770,1.510339,-52.900105
345,100.025894,29.522730,2.510329,-52.904362
346,100.036209,29.522688,3.510320,-52.908745
347,100.046524,29.522646,4.510312,-52.913040
348,100.056839,29.522604,5.510304,-52.917240
349,100.067154,29.522560,6.510298,-52.921562
350,100.077469,29.522514,7.510293,-52.926010
351,100.087784,29.522470,8.510288,-52.930157
352,100.098099,29.522425,9.510284,-52.934422
353,100.108414,29.522377,10.510282,-52.938812
354,100.118729,29.522329,11.510280,-52.943108
355,100.129044,29.522282,12.510279,-52.947319
356,100.139359,29.522232,13.510279,-52.951653
357,100.149673,29.522182,14.510280,-52.955894
358,100.159988,29.522131,15.510282,-52.960258
359,100.170303,29.522079,16.510283,-52.964531
360,100.180618,29.522028,17.510286,-52.968716
361,100.190933,29.521975,18.510292,-52.973019
362,100.201248,29.521919,19.510300,-52.977448
363,100.211563,29.521866,20.510307,-52.981579
364,100.221878,29.521811,21.510315,-52.985825
365,100.232193,29.521753,22.510324,-52.990196
366,100.242508,29.521696,23.510334,-52.994476
367,100.252823,29.521639,24.510345,-52.998669
368,100.263138,29.521580,25.510357,-53.002983
369,100.273453,29.521521,26.510370,-53.007206
370,100.283768,29.521460,27.510387,-53.011551
371,100.294083,29.521399,28.510405,-53.015808
372,100.304398,29.521336,29.510422,-53.020187
373,100.314713,29.521273,30.510439,-53.024475
374,100.325027,29.521210,31.510460,-53.028675
375,100.335342,29.521145,32.510479,-53.032997
376,100.345657,29.521080,33.510506,-53.037228
377,100.355972,29.521015,34.510529,-53.041367
378,100.366287,29.520948,35.510551,-53.045631
379,100.376602,29.520880,36.510578,-53.050014
380,100.386917,29.520811,37.510605,-53.054314
381,100.397232,29.520742,38.510635,-53.058521
382,100.407547,29.520672,39.510670,-53.062847
383,100.417862,29.520601,40.510700,-53.067085
384,100.428177,29.520531,41.510731,-53.071236
385,100.438492,29.520458,42.510765,-53.075504
386,100.448807,29.520384,43.510803,-53.079895
387,100.459122,29.520311,44.510841,-53.083988
388,100.469437,29.520235,45.510880,-53.088409
389,100.479744,29.520161,46.510181,-53.092541
390,100.490059,29.520084,47.510223,-53.096786
391,100.500374,29.520006,48.510265,-53.101151
392,99.499817,29.532791,-48.485649,-51.684090
393,99.510139,29.532789,-47.485027,-51.688602
394,99.520454,29.532789,-46.485149,-51.692814
395,99.530769,29.532787,-45.485264,-51.697144
396,99.541084,29.532784,-44.485386,-51.701599
397,99.551399,29.532780,-43.485504,-51.705959
398,99.561714,29.532776,-42.485626,-51.710236
399,99.572037,29.532770,-41.485004,-51.714634
400,99.582352,29.532764,-40.485123,-51.718941
401,99.592667,29.532759,-39.485237,-51.723156
402,99.602982,29.532751,-38.485359,-51.727497
403,99.613297,29.532742,-37.485477,-51.731953
404,99.623611,29.532732,-36.485592,-51.736324
405,99.633934,29.532722,-35.484974,-51.740608
406,99.644249,29.532713,-34.485088,-51.744801
407,99.654564,29.532701,-33.485207,-51.749115
408,99.664879,29.532688,-32.485325,-51.753548
409,99.675194,29.532675,-31.485441,-51.757896
410,99.685509,29.532661,-30.485559,-51.762150
411,99.695824,29.532646,-29.485676,-51.766529
412,99.706146,29.532631,-28.485052,-51.770817
413,99.716461,29.532614,-27.485168,-51.775227
414,99.726776,29.532597,-26.485283,-51.779549
415,99.737091,29.532579,-25.485399,-51.783783
416,99.747406,29.532560,-24.485514,-51.788132
417,99.757721,29.532541,-23.485626,-51.792393
418,99.768044,29.532520,-22.485003,-51.796780
419,99.778358,29.532499,-21.485115,-51.801079
420,99.788673,29.532476,-20.485228,-51.805492
421,99.798988,29.532454,-19.485342,-51.809822
422,99.809303,29.532431,-18.485453,-51.814060
