Site_ID,Period,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10
201,0.000000,0.043454,0.138921,0.082153,0.155394,0.158234,0.035004,0.196131,0.209625,0.082265,0.023241
202,0.000000,0.038949,0.148560,0.087034,0.112972,0.125891,0.113475,0.156392,0.179114,0.106109,0.022389
203,0.000000,0.032972,0.121889,0.088820,0.155584,0.132256,0.122823,0.177313,0.121794,0.053160,0.028548
204,0.000000,0.056087,0.184515,0.075011,0.106234,0.113179,0.136689,0.162206,0.115322,0.087438,0.038425
205,0.000000,0.069235,0.098812,0.065971,0.115013,0.108603,0.079878,0.140354,0.158441,0.122401,0.053263
206,0.000000,0.055327,0.076713,0.095039,0.183632,0.155323,0.073269,0.164388,0.064657,0.080130,0.032898
207,0.000000,0.054886,0.053713,0.056133,0.123862,0.159355,0.094631,0.205478,0.098149,0.151175,0.047953
208,0.000000,0.053048,0.078889,0.073238,0.076425,0.127129,0.079631,0.175623,0.241172,0.190281,0.043589
209,0.000000,0.102340,0.055241,0.070875,0.068104,0.139627,0.100893,0.176648,0.210069,0.166595,0.042020
210,0.000000,0.079951,0.060881,0.069673,0.066689,0.249241,0.132233,0.115181,0.170996,0.216359,0.060882
211,0.000000,0.111996,0.057269,0.083891,0.063802,0.117583,0.075424,0.139573,0.125104,0.133471,0.037125
212,0.000000,0.118569,0.087220,0.072660,0.050250,0.091293,0.157136,0.222378,0.155580,0.172265,0.030050
213,0.000000,0.112681,0.099200,0.079405,0.099942,0.131088,0.144157,0.157436,0.112691,0.126459,0.045279
214,0.000000,0.123322,0.087594,0.112713,0.069562,0.093573,0.193477,0.096551,0.134907,0.188539,0.041924
215,0.000000,0.127076,0.070182,0.100284,0.078892,0.102757,0.125533,0.083862,0.071502,0.097863,0.060802
216,0.000000,0.143614,0.119870,0.130029,0.100833,0.122486,0.073942,0.103587,0.091704,0.092391,0.061644
217,0.000000,0.169079,0.099153,0.144089,0.066665,0.163613,0.054197,0.110245,0.090600,0.101437,0.048493
218,0.000000,0.140324,0.095425,0.145191,0.134187,0.116007,0.066202,0.108319,0.183830,0.101287,0.033818
219,0.000000,0.117590,0.108634,0.090072,0.055411,0.145680,0.065160,0.100538,0.170897,0.095789,0.029706
220,0.000000,0.169728,0.090451,0.097786,0.040955,0.135009,0.069429,0.070277,0.128115,0.126955,0.047870
221,0.000000,0.150124,0.059937,0.108489,0.047992,0.135249,0.042895,0.084086,0.143760,0.071899,0.037319
222,0.000000,0.074115,0.096766,0.162868,0.106821,0.072368,0.084561,0.067793,0.121132,0.097161,0.048515
223,0.000000,0.110066,0.080928,0.054994,0.057642,0.063584,0.105715,0.117050,0.198854,0.049307,0.018680
224,0.000000,0.171539,0.120435,0.104613,0.127588,0.131460,0.095331,0.061320,0.109593,0.120955,0.034967
225,0.000000,0.171458,0.068188,0.070270,0.071759,0.092882,0.065684,0.068428,0.081385,0.049579,0.042655
226,0.000000,0.204211,0.052568,0.058182,0.052795,0.072425,0.051222,0.079865,0.115991,0.101571,0.045924
227,0.000000,0.109865,0.081044,0.096294,0.054500,0.112364,0.060101,0.067052,0.057239,0.120032,0.041938
228,0.000000,0.167534,0.084957,0.084396,0.059239,0.086616,0.068066,0.096196,0.106448,0.117459,0.031629
229,0.000000,0.080825,0.066521,0.125858,0.069214,0.089125,0.065174,0.084833,0.080066,0.128893,0.042333
230,0.000000,0.090524,0.056913,0.155699,0.050739,0.065739,0.050888,0.131434,0.099549,0.106768,0.044848
231,0.000000,0.056643,0.084155,0.123709,0.049974,0.068467,0.076517,0.098272,0.082050,0.126274,0.020666
232,0.000000,0.087644,0.067117,0.121508,0.046353,0.065991,0.072943,0.086985,0.174546,0.158539,0.040340
233,0.000000,0.048810,0.079548,0.107285,0.026061,0.055428,0.080426,0.113093,0.082171,0.121592,0.030351
234,0.000000,0.053686,0.081832,0.129430,0.057605,0.049802,0.075454,0.144092,0.126687,0.188086,0.043177
235,0.000000,0.046052,0.083111,0.147108,0.034012,0.062716,0.059279,0.097499,0.180132,0.125006,0.035611
236,0.000000,0.048744,0.107942,0.124804,0.108029,0.111075,0.084085,0.144046,0.142341,0.114900,0.026468
237,0.000000,0.099541,0.067858,0.212091,0.060447,0.114403,0.101999,0.101147,0.119672,0.119366,0.037275
238,0.000000,0.086727,0.075222,0.186826,0.063308,0.104511,0.092657,0.093511,0.145292,0.101558,0.036791
239,0.000000,0.115706,0.054083,0.260780,0.102159,0.185507,0.103013,0.114377,0.131947,0.082865,0.040654
